ID;Beweging;TrajectName;Timestamp;ShipID;CEMTKlasse;Width;Length;DimensionA;DimensionB;DimensionC;DimensionD
2215960;IN;Traject3;2018-05-01 00:06:26.217;1BDF354D-2A8B-4AA6-A6F3-D4A923639340;III;8;73;61;12;6;2
2215960;UIT;Traject4;2018-05-01 00:06:26.217;1BDF354D-2A8B-4AA6-A6F3-D4A923639340;III;8;73;61;12;6;2
2216094;UIT;Traject3;2018-05-01 00:14:16.967;1BDF354D-2A8B-4AA6-A6F3-D4A923639340;III;8;73;61;12;6;2
2216094;IN;Traject2;2018-05-01 00:14:16.967;1BDF354D-2A8B-4AA6-A6F3-D4A923639340;III;8;73;61;12;6;2
2216388;IN;Traject1;2018-05-01 00:35:16.327;1BDF354D-2A8B-4AA6-A6F3-D4A923639340;III;8;73;61;12;6;2
2216388;UIT;Traject2;2018-05-01 00:35:16.327;1BDF354D-2A8B-4AA6-A6F3-D4A923639340;III;8;73;61;12;6;2
2216969;UIT;Traject1;2018-05-01 00:51:21.673;1BDF354D-2A8B-4AA6-A6F3-D4A923639340;III;8;73;61;12;6;2
2218087;IN;Traject6;2018-05-15 01:15:37.153;1BDF354D-2A8B-4AA6-A6F3-D4A923639340;III;8;73;61;12;6;2
2218492;IN;Traject5;2018-05-15 01:51:06.487;1BDF354D-2A8B-4AA6-A6F3-D4A923639340;III;8;73;61;12;6;2
2218492;UIT;Traject6;2018-05-15 01:51:06.487;1BDF354D-2A8B-4AA6-A6F3-D4A923639340;III;8;73;61;12;6;2
2226865;IN;Traject4;2018-05-15 06:17:17.313;1BDF354D-2A8B-4AA6-A6F3-D4A923639340;III;8;73;61;12;6;2
2226865;UIT;Traject5;2018-05-15 06:17:17.313;1BDF354D-2A8B-4AA6-A6F3-D4A923639340;III;8;73;61;12;6;2
2227072;IN;Traject3;2018-05-15 06:23:07.783;1BDF354D-2A8B-4AA6-A6F3-D4A923639340;III;8;73;61;12;6;2
2227072;UIT;Traject4;2018-05-15 06:23:07.783;1BDF354D-2A8B-4AA6-A6F3-D4A923639340;III;8;73;61;12;6;2
2227243;IN;Traject2;2018-05-15 06:30:56.143;1BDF354D-2A8B-4AA6-A6F3-D4A923639340;III;8;73;61;12;6;2
2227243;UIT;Traject3;2018-05-15 06:30:56.143;1BDF354D-2A8B-4AA6-A6F3-D4A923639340;III;8;73;61;12;6;2
