ID;Beweging;TrajectName;Timestamp;ShipID;CEMTKlasse;Width;Length
2215960;IN;Traject3;2018-05-01 00:06:30.787;0;III;8.0;73.0
2216094;IN;Traject2;2018-05-01 00:14:20.717;0;III;8.0;73.0
2216388;IN;Traject1;2018-05-01 00:35:20.773;0;III;8.0;73.0
2218087;IN;Traject6;2018-05-15 01:15:43.030;1;III;8.0;73.0
2218492;IN;Traject5;2018-05-15 01:51:12.613;1;III;8.0;73.0
2226865;IN;Traject4;2018-05-15 06:17:22.940;1;III;8.0;73.0
2227072;IN;Traject3;2018-05-15 06:23:18.300;1;III;8.0;73.0
2227243;IN;Traject2;2018-05-15 06:31:02.020;1;III;8.0;73.0
2227617;IN;Traject1;2018-05-15 06:50:47.503;1;III;8.0;73.0
2229874;IN;Traject1;2018-05-20 12:04:01.313;2;III;8.0;73.0
2230091;IN;Traject2;2018-05-20 12:18:41.503;2;III;8.0;73.0
2230496;IN;Traject3;2018-05-20 12:36:21.097;2;III;8.0;73.0
2230621;IN;Traject4;2018-05-20 12:43:47.317;2;III;8.0;73.0
2230659;IN;Traject5;2018-05-20 12:50:26.567;2;III;8.0;73.0
2232008;IN;Traject6;2018-05-20 13:40:37.167;2;III;8.0;73.0
58450;IN;Traject1;2018-05-15 09:06:55.863;3;I;5.0;39.0
59108;IN;Traject2;2018-05-15 09:21:11.193;3;I;5.0;39.0
60204;IN;Traject3;2018-05-15 09:42:30.383;3;I;5.0;39.0
60287;IN;Traject4;2018-05-15 09:49:29.810;3;I;5.0;39.0
60324;IN;Traject5;2018-05-15 09:55:40.427;3;I;5.0;39.0
61250;IN;Traject6;2018-05-15 10:41:00.540;3;I;5.0;39.0
2382230;IN;Traject6;2018-05-08 06:21:20.933;4;III;8.0;55.0
2382735;IN;Traject5;2018-05-08 07:01:50.453;4;III;8.0;55.0
2383068;IN;Traject4;2018-05-08 07:28:20.467;4;III;8.0;55.0
2383148;IN;Traject3;2018-05-08 07:34:30.997;4;III;8.0;55.0
2383240;IN;Traject2;2018-05-08 07:42:40.723;4;III;8.0;55.0
2383543;IN;Traject1;2018-05-14 09:13:16.450;4;III;8.0;55.0
2383798;IN;Traject2;2018-05-14 09:27:45.787;5;III;8.0;55.0
2384378;IN;Traject3;2018-05-14 10:06:55.893;6;III;8.0;55.0
2384600;IN;Traject4;2018-05-14 10:14:56.563;7;III;8.0;55.0
2384638;IN;Traject5;2018-05-14 10:21:35.963;8;III;8.0;55.0
2385187;IN;Traject6;2018-05-14 11:02:05.673;9;III;8.0;55.0
30672;IN;Traject6;2018-05-23 21:53:22.330;10;IV;9.0;80.0
45780;IN;Traject5;2018-05-24 06:54:32.970;10;IV;9.0;80.0
46217;IN;Traject4;2018-05-24 07:16:32.853;10;IV;9.0;80.0
46433;IN;Traject3;2018-05-24 07:23:32.663;10;IV;9.0;80.0
46620;IN;Traject2;2018-05-24 07:33:03.273;10;IV;9.0;80.0
47008;IN;Traject1;2018-05-24 07:55:58.110;10;IV;9.0;80.0
48761;IN;Traject1;2018-05-29 21:53:34.507;11;IV;9.0;80.0
49029;IN;Traject2;2018-05-29 22:05:57.623;11;IV;9.0;80.0
